Date,AAPL,ACO-X.TO,AER,AGG,AMAT,AMSF,APO,BLBD,CEG,CG,CSH-UN.TO,DOLE,EA,GSL,HBM.TO,ISRG,L.TO,MA,MP,NSR,RSP,SPSB,SPY,TEX,TMUS,VEEV,WFG,WSC,XBB.TO,XIU.TO
2022-05-02,155.61219787597656,39.41402053833008,46.305702209472656,93.444091796875,110.24330139160156,36.045143127441406,49.00358963012695,16.149999618530273,56.774070739746094,33.38032913208008,10.208298683166504,11.269370079040527,118.13327026367188,18.26685333251953,8.095563888549805,240.66000366210938,112.27723693847656,353.17608642578125,38.68000030517578,,141.03431701660156,26.767078399658203,397.9010925292969,33.530517578125,124.02099609375,187.58999633789062,85.53715515136719,34.84000015258789,25.772014617919922,29.140642166137695
2022-05-03,157.10960388183594,39.36105728149414,47.06953048706055,93.6545181274414,111.05326843261719,35.70053482055664,48.82426452636719,15.979999542236328,58.23731994628906,34.78582000732422,10.156828880310059,11.381223678588867,120.6042251586914,19.25688362121582,8.11543083190918,238.11000061035156,109.90599822998047,351.9464416503906,39.529998779296875,,142.19808959960938,26.75811195373535,399.72509765625,33.28886795043945,123.87382507324219,183.6999969482422,87.78813934326172,35.90999984741211,25.744504928588867,29.434062957763672
2022-05-04,163.5524444580078,40.05826950073242,48.190467834472656,94.25839233398438,115.94232940673828,36.7573127746582,50.64585876464844,16.549999237060547,60.29561233520508,36.524662017822266,10.328398704528809,11.42782974243164,121.7953872680664,19.524677276611328,8.224696159362793,246.30999755859375,108.60470581054688,362.501220703125,40.59000015258789,,146.1567840576172,26.847816467285156,411.89788818359375,35.38634490966797,129.87863159179688,188.19000244140625,90.00064086914062,36.630001068115234,25.909587860107422,29.78250503540039
2022-05-05,154.43992614746094,40.27007293701172,46.98025131225586,93.32514190673828,110.7312240600586,36.35145568847656,50.372135162353516,15.720000267028809,58.68605041503906,34.58761215209961,10.165410995483398,11.138870239257812,117.74933624267578,19.03778076171875,7.84723424911499,233.97999572753906,108.19987487792969,347.5986328125,39.75,,141.75929260253906,26.793994903564453,397.2578430175781,33.70450210571289,127.12153625488281,178.4499969482422,88.98097229003906,34.65999984741211,25.65277862548828,29.131467819213867
2022-05-06,155.1699981689453,40.84372329711914,45.889068603515625,92.93170928955078,109.78462982177734,36.94110107421875,49.928550720214844,15.479999542236328,58.79335021972656,33.95694351196289,10.234037399291992,11.008376121520996,113.49652862548828,18.705062866210938,7.668436527252197,224.85000610351562,107.7275619506836,341.45068359375,37.689998626708984,,140.4619598388672,26.78502655029297,394.8866271972656,33.172882080078125,124.4134750366211,174.86000061035156,87.50918579101562,34.2599983215332,25.506032943725586,29.0489444732666
2022-05-09,150.02000427246094,41.655662536621094,41.45491409301758,93.38919067382812,103.19756317138672,37.055973052978516,46.766719818115234,15.119999885559082,56.20826721191406,32.28023147583008,10.328398704528809,10.710095405578613,110.29708862304688,17.29305648803711,7.11217737197876,208.7100067138672,111.98807525634766,322.6331787109375,38.290000915527344,,136.2934112548828,26.838844299316406,382.24346923828125,32.39962387084961,119.43889617919922,166.1199951171875,86.73961639404297,32.20000076293945,25.671125411987305,28.23286247253418
2022-05-10,152.43711853027344,41.27616500854492,42.58577346801758,93.6728286743164,104.59303283691406,36.129371643066406,47.60672378540039,14.899999618530273,55.64248275756836,33.134490966796875,10.062469482421875,10.13217830657959,109.86392974853516,17.86110496520996,6.853914260864258,211.38999938964844,111.3229751586914,320.0166015625,36.08000183105469,,135.94049072265625,26.838844299316406,383.12664794921875,31.877676010131836,120.68499755859375,164.74000549316406,84.17119598388672,33.93000030517578,25.625267028808594,28.08614730834961
2022-05-11,144.53460693359375,40.90550231933594,42.625450134277344,94.02049255371094,101.41172790527344,36.619476318359375,48.14470291137695,14.0600004196167,55.96439743041992,32.19843673706055,10.122518539428711,10.057608604431152,118.61563110351562,17.406665802001953,6.992978572845459,210.8699951171875,107.2745132446289,320.54779052734375,34.20000076293945,,134.185302734375,26.811935424804688,377.0402526855469,31.075416564941406,120.95972442626953,160.05999755859375,82.11258697509766,33.4900016784668,25.671125411987305,28.0311336517334
2022-05-12,140.64744567871094,40.596614837646484,41.524349212646484,94.19436645507812,104.18318939208984,36.642452239990234,48.673248291015625,14.15999984741211,52.2884635925293,32.307491302490234,10.096782684326172,10.281316757202148,119.06848907470703,16.87919044494629,6.536051273345947,211.69000244140625,109.51081085205078,315.993408203125,34.08000183105469,,134.75765991210938,26.856786727905273,376.6466369628906,30.911096572875977,121.69560241699219,164.14999389648438,81.87211608886719,33.369998931884766,25.808696746826172,27.902759552001953
2022-05-13,145.1363983154297,40.94963073730469,44.33165740966797,93.79178619384766,109.16009521484375,36.65776443481445,51.1555290222168,13.079999923706055,53.40327453613281,34.234134674072266,10.311241149902344,10.532991409301758,122.99642181396484,17.585193634033203,6.71484899520874,223.69000244140625,110.16627502441406,327.3645935058594,35.47999954223633,,137.83872985839844,26.838844299316406,385.6514587402344,31.703693389892578,123.95232391357422,172.77999877929688,82.72825622558594,35.61000061035156,25.762840270996094,28.379568099975586
2022-05-16,143.5874786376953,41.20556640625,45.02604675292969,94.00224304199219,107.81340789794922,36.48163986206055,50.50428009033203,11.979999542236328,55.33951950073242,34.13416290283203,10.276928901672363,10.523669242858887,125.4083023071289,18.26685333251953,6.893647193908691,219.52999877929688,110.74461364746094,324.3446960449219,35.310001373291016,,137.3522491455078,26.86575698852539,384.0866394042969,31.48137855529785,124.16817474365234,162.27000427246094,84.4405288696289,34.59000015258789,25.81786346435547,28.498775482177734
