Date,Total_Portfolio_Value,pct_change
2022-10-05,93929.017713,-0.012093
2022-10-06,93758.547546,-0.001815
2022-10-07,93121.335633,-0.006796
2022-10-10,92525.786529,-0.006395
2022-10-11,92512.011577,-0.000149
2022-10-12,92370.105219,-0.001534
2022-10-13,93882.289911,0.016371
2022-10-14,92051.924116,-0.019496
2022-10-17,93985.641292,0.021007
2022-10-18,94100.411044,0.001221
2022-10-19,93470.890041,-0.006690
2022-10-20,92967.001504,-0.005391
2022-10-21,94458.921995,0.016048
2022-10-24,94194.286031,-0.002802
2022-10-25,96077.952017,0.019998
2022-10-26,95925.311069,-0.001589
2022-10-27,95779.646783,-0.001519
2022-10-28,97100.780136,0.013793
2022-10-31,97193.355078,0.000953
2022-11-01,97531.575911,0.003480
2022-11-02,95927.914536,-0.016442
2022-11-03,96121.082194,0.002014
2022-11-04,97498.727921,0.014332
2022-11-07,96468.601955,-0.010566
2022-11-08,96674.197936,0.002131
2022-11-09,95052.111650,-0.016779
2022-11-10,99680.486186,0.048693
2022-11-11,99089.938809,-0.005924
2022-11-14,97765.990748,-0.013361
2022-11-15,99045.292059,0.013085
2022-11-16,98187.480703,-0.008661
2022-11-17,98161.061093,-0.000269
2022-11-18,98516.807961,0.003624
2022-11-21,98772.941410,0.002600
2022-11-22,100224.070611,0.014692
2022-11-23,100116.392302,-0.001074
2022-11-24,99984.948575,-0.001313
2022-11-25,100157.526995,0.001726
2022-11-28,99445.323934,-0.007111
2022-11-29,100032.437880,0.005904
2022-11-30,102586.499325,0.025532
2022-12-01,101801.026411,-0.007657
2022-12-02,102087.366627,0.002813
2022-12-05,100674.350877,-0.013841
2022-12-06,100952.760730,0.002765
2022-12-07,101548.462075,0.005901
2022-12-08,101892.718946,0.003390
2022-12-09,100792.458541,-0.010798
2022-12-12,102146.444412,0.013433
2022-12-13,102590.804128,0.004350
2022-12-14,101753.493542,-0.008162
2022-12-15,100192.558712,-0.015340
2022-12-16,100191.466968,-0.000011
2022-12-19,100001.668796,-0.001894
2022-12-20,99599.921068,-0.004017
2022-12-21,100357.189499,0.007603
2022-12-22,99694.434861,-0.006604
2022-12-23,100147.109451,0.004541
2022-12-27,99451.046535,-0.006950
2022-12-28,98284.737341,-0.011727
2022-12-29,100050.776346,0.017969
2022-12-30,99325.648420,-0.007248
2023-01-03,99438.715185,0.001138
2023-01-04,101413.967300,0.019864
2023-01-05,99459.473976,-0.019272
2023-01-06,101770.887643,0.023240
2023-01-09,101009.929158,-0.007477
2023-01-10,101199.733193,0.001879
2023-01-11,102370.594221,0.011570
2023-01-12,102735.304553,0.003563
2023-01-13,102448.813516,-0.002789
2023-01-16,102592.116650,0.001399
2023-01-17,102343.654795,-0.002422
2023-01-18,101635.545991,-0.006919
2023-01-19,101562.229481,-0.000721
2023-01-20,102426.853661,0.008513
2023-01-23,102502.878265,0.000742
2023-01-24,102616.251476,0.001106
2023-01-25,102629.613630,0.000130
2023-01-26,103222.865138,0.005781
2023-01-27,102813.841081,-0.003963
2023-01-30,101986.748583,-0.008045
2023-01-31,103689.289473,0.016694
2023-02-01,103859.825760,0.001645
2023-02-02,104438.502503,0.005572
2023-02-03,103671.836777,-0.007341
2023-02-06,103561.261090,-0.001067
2023-02-07,104452.300064,0.008604
2023-02-08,103392.992877,-0.010142
2023-02-09,103086.073845,-0.002968
2023-02-10,103361.189427,0.002669
2023-02-13,103708.661593,0.003362
2023-02-14,103198.022058,-0.004924
2023-02-15,103493.007819,0.002858
2023-02-16,102954.148858,-0.005207
2023-02-17,103531.686305,0.005610
2023-02-21,101730.121773,-0.017401
2023-02-22,102286.651648,0.005471
2023-02-23,102798.575149,0.005005
2023-02-24,102123.299214,-0.006569
2023-02-27,102599.169602,0.004660
2023-02-28,102387.757200,-0.002061
2023-03-01,102707.327671,0.003121
2023-03-02,102765.106422,0.000563
2023-03-03,103956.863944,0.011597
2023-03-06,103642.113043,-0.003028
2023-03-07,102609.599600,-0.009962
2023-03-08,103689.587682,0.010525
2023-03-09,102681.871686,-0.009719
2023-03-10,101606.243260,-0.010475
2023-03-13,100591.379424,-0.009988
2023-03-14,101276.472975,0.006811
2023-03-15,100203.490297,-0.010595
