Date,CAD_Holdings_MV,USD_Holdings_MV,CAD_Cash,USD_Cash,Total_Cash_CAD,Total_Holdings_CAD,Total_Portfolio_Value
2022-07-12,0.0,6773.419998168945,91987.0715887332,12.77,92004.98789869667,9503.10823805212,101508.09613674879
2022-07-13,0.0,6775.649948120117,91987.0715887332,12.77,92004.98789869667,9506.236857827234,101511.2247565239
2022-07-14,0.0,6793.22998046875,91987.0715887332,12.77,92004.98789869667,9530.90164316207,101535.88954185873
2022-07-15,0.0,6939.170059204102,91987.0715887332,12.77,92004.98789869667,9735.65557321023,101740.6434719069
2022-07-18,0.0,6903.130065917969,91987.0715887332,12.77,92004.98789869667,9685.091462732897,101690.07936142955
2022-07-19,0.0,7159.580078125,91987.0715887332,12.77,92004.98789869667,10044.890829125652,102049.87872782232
2022-07-20,0.0,7238.669921875,91987.0715887332,12.77,92004.98789869667,10155.853879680624,102160.84177837729
2022-07-21,0.0,7369.880157470703,91987.0715887332,12.77,92004.98789869667,10339.941839846,102344.92973854266
2022-07-22,0.0,7225.480178833008,91987.0715887332,12.77,92004.98789869667,10137.348670230445,102142.33656892712
2022-07-25,0.0,7327.769943237305,91987.0715887332,12.77,92004.98789869667,10280.86120939702,102285.84910809368
2022-07-26,0.0,7291.679931640625,91987.0715887332,12.77,92004.98789869667,10230.226923230133,102235.2148219268
2022-07-27,0.0,7415.869781494141,91987.0715887332,12.77,92004.98789869667,10404.465282219306,102409.45318091597
2022-07-28,0.0,7575.929992675781,91987.0715887332,12.77,92004.98789869667,10629.029758049212,102634.01765674588
2022-07-29,0.0,7586.549865722656,91987.0715887332,12.77,92004.98789869667,10643.929439903593,102648.91733860027
2022-08-01,0.0,7550.3800048828125,91987.0715887332,12.77,92004.98789869667,10593.183125248775,102598.17102394544
2022-08-02,0.0,7533.4500732421875,91987.0715887332,12.77,92004.98789869667,10569.430431205416,102574.41832990208
2022-08-03,0.0,7753.529937744141,91987.0715887332,12.77,92004.98789869667,10878.202480472002,102883.19037916866
2022-08-04,0.0,7783.870178222656,91987.0715887332,12.77,92004.98789869667,10920.769837776556,102925.75773647323
2022-08-05,0.0,7741.2301025390625,91987.0715887332,12.77,92004.98789869667,10860.945811714468,102865.93371041113
2022-08-08,0.0,7762.000183105469,91987.0715887332,12.77,92004.98789869667,10890.086234689712,102895.07413338637
2022-08-09,0.0,7593.420104980469,91987.0715887332,12.77,92004.98789869667,10653.568385562648,102658.5562842593
2022-08-10,0.0,7818.980072021484,91987.0715887332,12.77,92004.98789869667,10970.029018675861,102975.01691737253
2022-08-11,0.0,7796.339935302734,91987.0715887332,20.05,92015.20173867584,10938.264906924229,102953.46664560007
2022-08-12,0.0,7884.709930419922,91987.0715887332,20.05,92015.20173867584,11062.248009820814,103077.44974849666
2022-08-15,0.0,7916.470123291016,91987.0715887332,20.05,92015.20173867584,11106.807560328092,103122.00929900393
2022-08-16,0.0,7959.050140380859,91987.0715887332,20.05,92015.20173867584,11166.54732418332,103181.74906285916
2022-08-17,0.0,7792.969940185547,91987.0715887332,20.05,92015.20173867584,10933.536803784456,102948.7385424603
2022-08-18,0.0,7809.999908447266,91987.0715887332,20.05,92015.20173867584,10957.429849206925,102972.63158788276
2022-08-19,0.0,7707.479949951172,91987.0715887332,20.05,92015.20173867584,10813.594347730217,102828.79608640606
2022-08-22,0.0,7536.190002441406,91987.0715887332,20.05,92015.20173867584,10573.27455186408,102588.47629053993
2022-08-23,0.0,7493.810150146484,91987.0715887332,20.05,92015.20173867584,10513.815619215555,102529.0173578914
2022-08-24,0.0,7477.4300537109375,91987.0715887332,20.05,92015.20173867584,10490.834343963346,102506.03608263918
2022-08-25,0.0,7612.630187988281,91987.0715887332,20.05,92015.20173867584,10680.520131967649,102695.7218706435
2022-08-26,0.0,7417.079864501953,91987.0715887332,20.05,92015.20173867584,10406.163028675805,102421.36476735164
2022-08-29,0.0,7322.990173339844,91987.0715887332,20.05,92015.20173867584,10274.155192244558,102289.35693092039
2022-08-30,0.0,7220.81005859375,91987.0715887332,23.09,92019.46685866715,10130.796491548128,102150.26335021527
2022-08-31,0.0,7158.0101318359375,91987.0715887332,23.09,92019.46685866715,10042.688194486589,102062.15505315374
2022-09-01,0.0,7176.649932861328,91987.0715887332,23.09,92019.46685866715,10068.839835271883,102088.30669393903
2022-09-02,0.0,7083.119934082031,91987.0715887332,23.09,92019.46685866715,9937.617247252121,101957.08410591926
2022-09-06,0.0,7079.119934082031,91987.0715887332,23.09,92019.46685866715,9932.005247263565,101951.4721059307
2022-09-07,0.0,7239.499908447266,91987.0715887332,23.09,92019.46685866715,10157.018350839138,102176.48520950628
2022-09-08,0.0,7315.790008544922,91987.0715887332,23.09,92019.46685866715,10264.053361057882,102283.52021972503
2022-09-09,0.0,7506.850006103516,91987.0715887332,23.09,92019.46685866715,10532.110537085962,102551.5773957531
2022-09-12,0.0,7576.180267333984,91987.0715887332,23.09,92019.46685866715,10629.380893393954,102648.8477520611
2022-09-13,0.0,7252.0799560546875,91987.0715887332,23.09,92019.46685866715,10174.66815759636,102194.1350162635
2022-09-14,0.0,7240.690093994141,91987.0715887332,23.09,92019.46685866715,10158.688181157999,102178.15503982514
2022-09-15,0.0,7124.959899902344,91987.0715887332,23.09,92019.46685866715,9996.318719178314,102015.78557784547
2022-09-16,0.0,7003.809997558594,91987.0715887332,23.09,92019.46685866715,9826.345406536646,101845.8122652038
2022-09-19,0.0,7032.389984130859,91987.0715887332,23.09,92019.46685866715,9866.443127615767,101885.90998628292
2022-09-20,0.0,6928.18994140625,91987.0715887332,23.09,92019.46685866715,9720.250467971258,101739.7173266384
2022-09-21,0.0,6740.099899291992,91987.0715887332,23.09,92019.46685866715,9456.360139423085,101475.82699809023
2022-09-22,0.0,6642.9998779296875,91987.0715887332,23.09,92019.46685866715,9320.128809729576,101339.59566839672
2022-09-23,0.0,6511.659927368164,91987.0715887332,23.09,92019.46685866715,9135.858859467526,101155.32571813467
2022-09-26,0.0,6436.9498291015625,91987.0715887332,23.09,92019.46685866715,9031.040591813231,101050.50745048038
2022-09-27,0.0,6408.7200927734375,91987.0715887332,23.09,92019.46685866715,8991.434271825638,101010.90113049278
2022-09-28,0.0,6580.499847412109,91987.0715887332,23.09,92019.46685866715,9232.441267092228,101251.90812575938
2022-09-29,0.0,6496.329940795898,91987.0715887332,23.09,92019.46685866715,9114.350888350496,101133.81774701765
2022-09-30,0.0,6438.019973754883,91987.0715887332,23.09,92019.46685866715,9032.542004758778,101052.00886342593
2022-10-03,0.0,6652.480056762695,91987.0715887332,23.09,92019.46685866715,9333.429500605163,101352.89635927232
2022-10-04,0.0,6942.909851074219,91987.0715887332,23.09,92019.46685866715,9740.902501193304,101760.36935986046
2022-10-05,0.0,6930.440002441406,91987.0715887332,23.09,92019.46685866715,9723.407303597145,101742.87416226428
2022-10-06,0.0,6857.829986572266,91987.0715887332,25.54,92022.90420866014,9621.53545154048,101644.43966020062
2022-10-07,0.0,6712.529861450195,91987.0715887332,25.54,92022.90420866014,9417.679376409922,101440.58358507007
2022-10-10,0.0,6652.340057373047,91987.0715887332,25.54,92022.90420866014,9333.233081461887,101356.13729012203
2022-10-11,0.0,6596.729843139648,91987.0715887332,25.54,92022.90420866014,9255.211951051531,101278.11615971167
2022-10-12,0.0,6589.379989624023,91987.0715887332,25.54,92022.90420866014,9244.900106590138,101267.80431525028
2022-10-13,0.0,6784.840118408203,91987.0715887332,25.54,92022.90420866014,9519.130666715126,101542.03487537526
2022-10-14,0.0,6619.690002441406,91987.0715887332,25.54,92022.90420866014,9287.425054486208,101310.32926314636
2022-10-17,0.0,6777.840026855469,91987.0715887332,25.54,92022.90420866014,9509.309538286667,101532.2137469468
2022-10-18,0.0,6941.9801025390625,91987.0715887332,25.54,92022.90420866014,9739.59806400114,101762.50227266128
2022-10-19,0.0,7026.399993896484,91987.0715887332,25.54,92022.90420866014,9858.039171334076,101880.94337999422
2022-10-20,0.0,6969.719940185547,91987.0715887332,25.54,92022.90420866014,9778.517056139794,101801.42126479994
2022-10-21,0.0,7181.529968261719,91987.0715887332,25.54,92022.90420866014,10075.68652492467,102098.5907335848
2022-10-24,0.0,7212.160095214844,91987.0715887332,25.54,92022.90420866014,10118.66059295227,102141.5648016124
2022-10-25,0.0,7453.769927978516,91987.0715887332,25.54,92022.90420866014,10457.63918762845,102480.54339628859
2022-10-26,0.0,7555.950103759766,91987.0715887332,25.54,92022.90420866014,10600.997973957205,102623.90218261734
2022-10-27,0.0,7626.529937744141,91987.0715887332,25.54,92022.90420866014,10700.021480835352,102722.92568949549
