Date,CAD,USD
2022-05-02,1.0,1.2853000164031982
2022-05-03,1.0,1.2874000072479248
2022-05-04,1.0,1.2833800315856934
2022-05-05,1.0,1.2737200260162354
2022-05-06,1.0,1.2826999425888062
2022-05-09,1.0,1.2918200492858887
2022-05-10,1.0,1.3008400201797485
2022-05-11,1.0,1.3031200170516968
2022-05-12,1.0,1.2994400262832642
2022-05-13,1.0,1.3023099899291992
2022-05-16,1.0,1.2906999588012695
2022-05-17,1.0,1.284999966621399
2022-05-18,1.0,1.280809998512268
2022-05-19,1.0,1.2884199619293213
2022-05-20,1.0,1.2819600105285645
2022-05-23,1.0,1.2812000513076782
2022-05-24,1.0,1.2787100076675415
2022-05-25,1.0,1.2822400331497192
2022-05-26,1.0,1.2820199728012085
2022-05-27,1.0,1.2773000001907349
2022-05-30,1.0,1.2723699808120728
2022-05-31,1.0,1.2655199766159058
2022-06-01,1.0,1.2639000415802002
2022-06-02,1.0,1.2665300369262695
2022-06-03,1.0,1.2569799423217773
2022-06-06,1.0,1.258489966392517
2022-06-07,1.0,1.2580000162124634
2022-06-08,1.0,1.253659963607788
2022-06-09,1.0,1.2552000284194946
2022-06-10,1.0,1.2702699899673462
2022-06-13,1.0,1.2797600030899048
2022-06-14,1.0,1.2890000343322754
2022-06-15,1.0,1.2944799661636353
2022-06-16,1.0,1.2873400449752808
2022-06-17,1.0,1.2953799962997437
2022-06-20,1.0,1.3000500202178955
2022-06-21,1.0,1.2981799840927124
2022-06-22,1.0,1.2931900024414062
2022-06-23,1.0,1.2963800430297852
2022-06-24,1.0,1.2987099885940552
2022-06-27,1.0,1.2897100448608398
2022-06-28,1.0,1.2869000434875488
2022-06-29,1.0,1.2872999906539917
2022-06-30,1.0,1.2883299589157104
2022-07-01,1.0,1.287369966506958
2022-07-04,1.0,1.288599967956543
2022-07-05,1.0,1.285730004310608
2022-07-06,1.0,1.3034800291061401
2022-07-07,1.0,1.3034000396728516
2022-07-08,1.0,1.2965999841690063
2022-07-11,1.0,1.294700026512146
2022-07-12,1.0,1.2994799613952637
2022-07-13,1.0,1.303130030632019
2022-07-14,1.0,1.300089955329895
2022-07-15,1.0,1.3107999563217163
2022-07-18,1.0,1.3009400367736816
2022-07-19,1.0,1.2981300354003906
2022-07-20,1.0,1.2870899438858032
2022-07-21,1.0,1.2883000373840332
2022-07-22,1.0,1.2877999544143677
2022-07-25,1.0,1.2924599647521973
2022-07-26,1.0,1.2850699424743652
2022-07-27,1.0,1.287369966506958
2022-07-28,1.0,1.2817100286483765
2022-07-29,1.0,1.2806999683380127
2022-08-01,1.0,1.281559944152832
2022-08-02,1.0,1.284309983253479
2022-08-03,1.0,1.288789987564087
2022-08-04,1.0,1.2853599786758423
2022-08-05,1.0,1.287019968032837
2022-08-08,1.0,1.294450044631958
2022-08-09,1.0,1.2856999635696411
2022-08-10,1.0,1.2885899543762207
2022-08-11,1.0,1.277400016784668
2022-08-12,1.0,1.2762900590896606
2022-08-15,1.0,1.2779500484466553
2022-08-16,1.0,1.2903599739074707
2022-08-17,1.0,1.284540057182312
2022-08-18,1.0,1.2917799949645996
2022-08-19,1.0,1.2947100400924683
2022-08-22,1.0,1.300029993057251
2022-08-23,1.0,1.3048100471496582
2022-08-24,1.0,1.295799970626831
2022-08-25,1.0,1.297029972076416
2022-08-26,1.0,1.2937599420547485
2022-08-29,1.0,1.306130051612854
2022-08-30,1.0,1.300130009651184
2022-08-31,1.0,1.3089499473571777
2022-09-01,1.0,1.3141200542449951
2022-09-02,1.0,1.3144999742507935
2022-09-06,1.0,1.3128999471664429
2022-09-07,1.0,1.3153799772262573
2022-09-08,1.0,1.3129899501800537
2022-09-09,1.0,1.3080799579620361
2022-09-12,1.0,1.302299976348877
2022-09-13,1.0,1.2979899644851685
2022-09-14,1.0,1.3162599802017212
2022-09-15,1.0,1.3160500526428223
2022-09-16,1.0,1.3246999979019165
2022-09-19,1.0,1.325819969177246
2022-09-20,1.0,1.3243399858474731
2022-09-21,1.0,1.336300015449524
2022-09-22,1.0,1.3478699922561646
2022-09-23,1.0,1.3471100330352783
2022-09-26,1.0,1.3580800294876099
2022-09-27,1.0,1.3710600137710571
2022-09-28,1.0,1.372249960899353
2022-09-29,1.0,1.3627899885177612
2022-09-30,1.0,1.3674499988555908
2022-10-03,1.0,1.378730058670044
2022-10-04,1.0,1.3628100156784058
2022-10-05,1.0,1.350540041923523
2022-10-06,1.0,1.359779953956604
2022-10-07,1.0,1.3740999698638916
2022-10-10,1.0,1.3732099533081055
2022-10-11,1.0,1.377500057220459
2022-10-12,1.0,1.3791500329971313
2022-10-13,1.0,1.3815699815750122
2022-10-14,1.0,1.3760099411010742
2022-10-17,1.0,1.3854999542236328
2022-10-18,1.0,1.3712899684906006
2022-10-19,1.0,1.3726199865341187
2022-10-20,1.0,1.3772799968719482
2022-10-21,1.0,1.3777300119400024
2022-10-24,1.0,1.3646199703216553
2022-10-25,1.0,1.3695199489593506
2022-10-26,1.0,1.3616700172424316
2022-10-27,1.0,1.3552000522613525
2022-10-28,1.0,1.3564499616622925
2022-10-31,1.0,1.3608100414276123
2022-11-01,1.0,1.3610700368881226
2022-11-02,1.0,1.361799955368042
2022-11-03,1.0,1.3715200424194336
2022-11-04,1.0,1.3742400407791138
2022-11-07,1.0,1.3512500524520874
2022-11-08,1.0,1.3493499755859375
2022-11-09,1.0,1.341539978981018
2022-11-10,1.0,1.3526500463485718
2022-11-11,1.0,1.333150029182434
2022-11-14,1.0,1.3253999948501587
2022-11-15,1.0,1.3324700593948364
