Date,CAD_Cash,USD_Cash,Total_CAD
2022-09-01,91987.0715887332,23.09,92017.09159065605
2022-09-02,91987.0715887332,23.09,92017.09159065605
2022-09-06,91987.0715887332,23.09,92017.09159065605
2022-09-07,91987.0715887332,23.09,92017.09159065605
2022-09-08,91987.0715887332,23.09,92017.09159065605
2022-09-09,91987.0715887332,23.09,92017.09159065605
2022-09-12,91987.0715887332,23.09,92017.09159065605
2022-09-13,91987.0715887332,23.09,92017.09159065605
2022-09-14,91987.0715887332,23.09,92017.09159065605
2022-09-15,91987.0715887332,23.09,92017.09159065605
2022-09-16,91987.0715887332,23.09,92017.09159065605
2022-09-19,91987.0715887332,23.09,92017.09159065605
2022-09-20,91987.0715887332,23.09,92017.09159065605
2022-09-21,91987.0715887332,23.09,92017.09159065605
2022-09-22,91987.0715887332,23.09,92017.09159065605
2022-09-23,91987.0715887332,23.09,92017.09159065605
2022-09-26,91987.0715887332,23.09,92017.09159065605
2022-09-27,91987.0715887332,23.09,92017.09159065605
2022-09-28,91987.0715887332,23.09,92017.09159065605
2022-09-29,91987.0715887332,23.09,92017.09159065605
2022-09-30,91987.0715887332,23.09,92017.09159065605
2022-10-03,91987.0715887332,23.09,92017.09159065605
2022-10-04,91987.0715887332,23.09,92017.09159065605
2022-10-05,91987.0715887332,23.09,92017.09159065605
2022-10-06,91987.0715887332,25.54,92021.80036875725
2022-10-07,91987.0715887332,25.54,92021.80036875725
2022-10-10,91987.0715887332,25.54,92021.80036875725
2022-10-11,91987.0715887332,25.54,92021.80036875725
2022-10-12,91987.0715887332,25.54,92021.80036875725
2022-10-13,91987.0715887332,25.54,92021.80036875725
2022-10-14,91987.0715887332,25.54,92021.80036875725
2022-10-17,91987.0715887332,25.54,92021.80036875725
2022-10-18,91987.0715887332,25.54,92021.80036875725
2022-10-19,91987.0715887332,25.54,92021.80036875725
2022-10-20,91987.0715887332,25.54,92021.80036875725
2022-10-21,91987.0715887332,25.54,92021.80036875725
2022-10-24,91987.0715887332,25.54,92021.80036875725
2022-10-25,91987.0715887332,25.54,92021.80036875725
2022-10-26,91987.0715887332,25.54,92021.80036875725
