Date,AAPL,ACO-X.TO,AER,AGG,AMAT,AMSF,APO,BLBD,CEG,CG,CSH-UN.TO,DOLE,EA,GSL,HBM.TO,ISRG,L.TO,MA,MP,NSR,RSP,SPSB,SPY,TEX,TMUS,VEEV,WFG,WSC,XBB.TO,XIU.TO
2022-05-02,155.44131469726562,39.00519561767578,46.305702209472656,93.15789794921875,109.98994445800781,35.76911926269531,48.864234924316406,16.149999618530273,56.668006896972656,33.15570068359375,10.145818710327148,11.207786560058594,117.9628677368164,17.904096603393555,8.08747673034668,240.66000366210938,111.96650695800781,353.176025390625,38.68000030517578,,140.3601531982422,26.662158966064453,396.7076416015625,33.389427185058594,123.60785675048828,187.58999633789062,85.53715515136719,34.75886917114258,25.62985610961914,28.931896209716797
2022-05-03,156.93704223632812,38.95279312133789,47.06953048706055,93.36766052246094,110.79804992675781,35.427154541015625,48.68541717529297,15.979999542236328,58.128517150878906,34.55173110961914,10.094663619995117,11.319031715393066,120.43025970458984,18.874467849731445,8.107325553894043,238.11000061035156,109.6018295288086,351.94647216796875,39.529998779296875,,141.51834106445312,26.653215408325195,398.5262145996094,33.1487922668457,123.461181640625,183.6999969482422,87.78814697265625,35.826377868652344,25.60249137878418,29.22321891784668
2022-05-04,163.372802734375,39.642757415771484,48.190467834472656,93.96967315673828,115.67588806152344,36.47583770751953,50.501834869384766,16.549999237060547,60.182979583740234,36.27886962890625,10.265182495117188,11.365382194519043,121.6197280883789,19.136943817138672,8.216479301452637,246.30999755859375,108.30413055419922,362.501220703125,40.59000015258789,,145.45809936523438,26.742565155029297,410.6625061035156,35.23744583129883,129.44598388671875,188.19000244140625,90.00064849853516,36.544700622558594,25.76667022705078,29.569162368774414
2022-05-05,154.27023315429688,39.852378845214844,46.98025131225586,93.0392837524414,110.47674560546875,36.073089599609375,50.22889709472656,15.720000267028809,58.5764045715332,34.354854583740234,10.103188514709473,11.0780029296875,117.57950592041016,18.65970802307129,7.8393964767456055,233.97999572753906,107.90042114257812,347.5986633300781,39.75,,141.08163452148438,26.688955307006836,396.06634521484375,33.56266784667969,126.69806671142578,178.4499969482422,88.98098754882812,34.579288482666016,25.511281967163086,28.922792434692383
2022-05-06,154.9995574951172,40.42007064819336,45.889068603515625,92.64706420898438,109.53235626220703,36.65821075439453,49.786563873291016,15.479999542236328,58.68351364135742,33.72842788696289,10.171399116516113,10.948220252990723,113.33281707763672,18.33360481262207,7.660775661468506,224.85000610351562,107.4294204711914,341.4507141113281,37.689998626708984,,139.79051208496094,26.68001937866211,393.70233154296875,33.03329086303711,123.99903869628906,174.86000061035156,87.5091781616211,34.18021774291992,25.3653507232666,28.840862274169922
2022-05-09,149.855224609375,41.22358703613281,41.45491409301758,93.10316467285156,102.96041870117188,36.7722053527832,46.63372039794922,15.119999885559082,56.103271484375,32.0629997253418,10.265182495117188,10.651569366455078,110.13800811767578,16.949634552001953,7.105072498321533,208.7100067138672,111.67815399169922,322.6330871582031,38.290000915527344,,135.6419219970703,26.733627319335938,381.0970153808594,32.26329803466797,119.04102325439453,166.1199951171875,86.7396011352539,32.12501525878906,25.529525756835938,28.030620574951172
2022-05-10,152.2696990966797,40.84803009033203,42.58577346801758,93.38592529296875,104.35269165039062,35.85271072387695,47.471336364746094,14.899999618530273,55.53853988647461,32.9115104675293,10.000879287719727,10.076809883117676,109.7054672241211,17.506404876708984,6.847066402435303,211.38999938964844,111.0148696899414,320.0166015625,36.08000183105469,,135.2906494140625,26.733627319335938,381.9775390625,31.7435359954834,120.28297424316406,164.74000549316406,84.17119598388672,33.85098648071289,25.48392677307129,27.884960174560547
2022-05-11,144.37582397460938,40.481204986572266,42.625450134277344,93.73253631591797,101.17869567871094,36.339054107666016,48.007789611816406,14.0600004196167,55.85984802246094,31.98175811767578,10.060559272766113,10.00265121459961,118.4445571899414,17.060991287231445,6.985992908477783,210.8699951171875,106.97760772705078,320.5477600097656,34.20000076293945,,133.54388427734375,26.706823348999023,375.909423828125,30.944656372070312,120.55677795410156,160.05999755859375,82.11260223388672,33.41201400756836,25.529525756835938,27.830333709716797
2022-05-12,140.49298095703125,40.17552185058594,41.524349212646484,93.90583038330078,103.94377136230469,36.36185073852539,48.53483200073242,14.15999984741211,52.1907844543457,32.09008026123047,10.03498363494873,10.22513484954834,118.89674377441406,16.54399299621582,6.5295209884643555,211.69000244140625,109.20771789550781,315.99334716796875,34.08000183105469,,134.11346435546875,26.751501083374023,375.5169982910156,30.78102684020996,121.29021453857422,164.14999389648438,81.87210845947266,33.29228973388672,25.666339874267578,27.702884674072266
2022-05-13,144.9770050048828,40.52487564086914,44.33165740966797,93.50450897216797,108.90922546386719,36.377052307128906,51.01004409790039,13.079999923706055,53.30350112915039,34.00374984741211,10.248130798339844,10.475433349609375,122.81900787353516,17.23597526550293,6.708141326904297,223.69000244140625,109.86137390136719,327.3645935058594,35.47999954223633,,137.1798553466797,26.733627319335938,384.49481201171875,31.570281982421875,123.53941345214844,172.77999877929688,82.7282485961914,35.527076721191406,25.62074089050293,28.176280975341797
2022-05-16,143.42977905273438,40.778160095214844,45.02604675292969,93.71430969238281,107.56563568115234,36.2022705078125,50.36065673828125,11.979999542236328,55.23614501953125,33.904449462890625,10.21402645111084,10.466164588928223,125.22740173339844,17.904096603393555,6.886760234832764,219.52999877929688,110.43811798095703,324.3447570800781,35.310001373291016,,136.69569396972656,26.76043701171875,382.9346923828125,31.34891128540039,123.75455474853516,162.27000427246094,84.44053649902344,34.50944900512695,25.675460815429688,28.294628143310547
