Date,one_day,one_week,one_month,ytd,one_year,inception
2022-05-02,,,,0.0,,0.0
2022-05-03,0.0,,,0.0,,0.0
2022-05-04,0.0,,,0.0,,0.0
2022-05-05,-3.023777539847272,,,-3.023777539847272,,-3.023777539847272
2022-05-06,-0.1948959915468284,,,-3.2127803101756447,,-3.2127803101756447
2022-05-09,-5.181819407708177,-8.228119244244114,,-8.228119244244114,,-8.228119244244114
2022-05-10,0.5587798274436562,-7.715316487315304,,-7.715316487315304,,-7.715316487315304
2022-05-11,-0.3050574654212101,-7.996837803811097,,-7.996837803811097,,-7.996837803811097
2022-05-12,-0.0037657109124955,-5.131695905279587,,-8.000302376929746,,-8.000302376929746
2022-05-13,1.6863064716072795,-3.343545999407782,,-6.448905522052783,,-6.448905522052783
2022-05-16,-0.990217985898978,0.9293194730694898,,-7.375265285578758,,-7.375265285578758
2022-05-17,0.858695016509814,1.2303397915740089,,-6.579901304530599,,-6.579901304530599
2022-05-18,-2.4719081852110247,-0.9698824971931196,,-8.889160370816128,,-8.889160370816128
2022-05-19,0.4934505646291942,-0.4774700924534469,,-8.439573418227509,,-8.439573418227509
2022-05-20,-0.3786862476317987,-2.49852196059972,,-8.786300161965688,,-8.786300161965688
2022-05-23,0.8824705682515699,-0.6543617349854314,,-7.981366106681698,,-7.981366106681698
2022-05-24,-0.3552859654721074,-1.8501308798949512,,-8.308295398523825,,-8.308295398523825
2022-05-25,1.1996354628877492,1.8448202036758456,,-7.208329193598228,,-7.208329193598228
2022-05-26,1.248524661089978,2.6100480385489844,,-6.049802300142881,,-6.049802300142881
2022-05-27,1.106556825492544,4.139849818327135,,-5.010189974931379,,-5.010189974931379
2022-05-30,-0.3608906083211738,2.856341935650697,,-5.352999278173975,,-5.352999278173975
2022-05-31,-1.223292912194629,1.960358438887644,,-6.510809329608868,,-6.510809329608868
2022-06-01,-0.8855840537380755,-0.1405357823855535,-7.3387346941546365,-7.3387346941546365,,-7.3387346941546365
2022-06-02,1.508848328240009,0.1162164222691108,-5.940616741661353,-5.940616741661353,,-5.940616741661353
2022-06-03,-1.5434065863494828,-2.507790553944911,-7.392335457950261,-7.392335457950261,,-7.392335457950261
2022-06-06,0.1608498171513206,-1.9972919440397807,-4.164388543867215,-7.24337619886628,,-7.24337619886628
2022-06-07,0.750201908812631,-0.0392611238667739,-3.445427957401037,-6.547514236560015,,-6.547514236560015
2022-06-08,-1.326369320120857,-0.4838101886287083,0.4806264228161883,-7.787039336616597,,-7.787039336616597
2022-06-09,-1.5302545036823156,-3.463254239652558,-1.606784329089339,-9.198132320146824,,-9.198132320146824
2022-06-10,-0.9183058394656384,-2.850342602307987,-2.2120254576075693,-10.031971173394773,,-10.031971173394773
2022-06-13,-2.492709570417706,-5.4241265294349255,-6.22730001046885,-12.274612838271723,,-12.274612838271723
2022-06-14,0.1652158311746365,-5.973262592812823,-6.072372664766245,-12.129676610721296,,-12.129676610721296
2022-06-15,1.3845833651245476,-3.389978340449173,-3.819469448977142,-10.913038730192214,,-10.913038730192214
2022-06-16,-2.755247505576808,-4.591835823164525,-7.265785198931019,-13.367605008372765,,-13.367605008372765
2022-06-17,0.6977768267080853,-3.035670664262191,-4.251902272714858,-12.763104231698977,,-12.763104231698977
2022-06-20,0.334736066619401,-0.2239694189429486,-4.039733858774053,-12.471090878163292,,-12.471090878163292
2022-06-21,1.0819548133504495,0.68920763520115,-3.0014871403551635,-11.524067632846446,,-11.524067632846446
2022-06-22,-0.1059086850569435,-0.7910614406094973,-3.951813962965955,-11.617771329408376,,-11.617771329408376
2022-06-23,0.8048622231860314,2.840956722692201,-2.83353960055317,-10.90641615882888,,-10.90641615882888
2022-06-24,2.169742415714881,4.344250580875864,-1.9020949527147613,-8.973314880546502,,-8.973314880546502
2022-06-27,-0.962445331520112,2.9952320239680086,-5.094448536856433,-9.84939696191619,,-9.84939696191619
2022-06-28,-1.2463709020775426,0.6228358061595607,-6.277323714749283,-10.9730078462303,,-10.9730078462303
2022-06-29,-0.1523908716679511,0.576014524042634,-6.081204405341422,-11.108676855593192,,-11.108676855593192
2022-06-30,-0.265701240884697,-0.4921185415320606,-5.170707800499574,-11.344862204226702,,-11.344862204226702
2022-07-01,1.0404559040810613,-1.591983390707008,-3.327938469679204,-10.422444588759372,,-10.422444588759372
2022-07-04,0.0885561025008474,-0.5476627093075392,-3.186326697269781,-10.343118196971634,,-10.343118196971634
2022-07-05,-0.2052091823450452,0.500865506524617,-3.384997244652521,-10.5271023510357,,-10.5271023510357
2022-07-06,1.0276806195127497,1.6886576555664945,-2.548853576627952,-9.607606722180806,,-9.607606722180806
2022-07-07,0.911142098024853,2.8885620103727083,-2.393183358135287,-8.784003573614408,,-8.784003573614408
2022-07-08,-0.8594050272686671,0.9539511904074204,-1.931267669043124,-9.567918432575972,,-9.567918432575972
2022-07-11,-0.5863133895161576,0.2732465783116256,-0.0735401927685841,-10.098133835223956,,-10.098133835223956
2022-07-12,0.0821334721521127,0.5619668673245926,0.0085328782697846,-10.024294311013271,,-10.024294311013271
2022-07-13,0.0749430109526327,-0.3863788458281281,2.6420505001074623,-9.95686380804406,,-9.95686380804406
2022-07-14,-0.7150967305969314,-1.9917074072982928,1.7399700156653486,-10.60075933107968,,-10.60075933107968
2022-07-15,2.104783684619771,0.9386267777512504,2.462694876572757,-8.719098699306294,,-8.719098699306294
2022-07-18,-1.074321058938399,0.4431333936109283,3.51153667258719,-9.699748644768423,,-9.699748644768423
