Date,Total_Portfolio_Value,pct_change
2022-10-05,94369.278661,-0.012100
2022-10-06,94198.176776,-0.001813
2022-10-07,93558.569228,-0.006790
2022-10-10,92960.227111,-0.006395
2022-10-11,92946.762942,-0.000145
2022-10-12,92804.295325,-0.001533
2022-10-13,94322.943149,0.016364
2022-10-14,92484.035350,-0.019496
2022-10-17,94426.700095,0.021005
2022-10-18,94541.323831,0.001214
2022-10-19,93907.514561,-0.006704
2022-10-20,93401.035483,-0.005393
2022-10-21,94899.517093,0.016044
2022-10-24,94633.118857,-0.002807
2022-10-25,96525.182803,0.019994
2022-10-26,96371.555408,-0.001592
2022-10-27,96225.249861,-0.001518
2022-10-28,97552.175641,0.013790
2022-10-31,97645.059999,0.000952
2022-11-01,97984.512505,0.003476
2022-11-02,96373.855356,-0.016438
2022-11-03,96568.334930,0.002018
2022-11-04,97951.802004,0.014326
2022-11-07,96915.735414,-0.010577
2022-11-08,97122.842308,0.002137
2022-11-09,95493.540655,-0.016776
2022-11-10,100143.431572,0.048693
2022-11-11,99549.169083,-0.005934
2022-11-14,98219.059390,-0.013361
2022-11-15,99504.685409,0.013089
2022-11-16,98643.075146,-0.008659
2022-11-17,98616.580204,-0.000269
2022-11-18,98973.693939,0.003621
2022-11-21,99231.476336,0.002605
2022-11-22,100689.516863,0.014693
2022-11-23,100581.260886,-0.001075
2022-11-24,100449.159666,-0.001313
2022-11-25,100622.538907,0.001726
2022-11-28,99907.349915,-0.007108
2022-11-29,100497.446902,0.005906
2022-11-30,103063.141682,0.025530
2022-12-01,102273.414297,-0.007663
2022-12-02,102561.432891,0.002816
2022-12-05,101141.627211,-0.013843
2022-12-06,101422.323223,0.002775
2022-12-07,102021.465265,0.005907
2022-12-08,102366.897754,0.003386
2022-12-09,101261.259789,-0.010801
2022-12-12,102621.375088,0.013432
2022-12-13,103067.820105,0.004350
2022-12-14,102226.630855,-0.008162
2022-12-15,100659.177158,-0.015333
2022-12-16,100658.252456,-0.000009
2022-12-19,100466.467931,-0.001905
2022-12-20,100062.306441,-0.004023
2022-12-21,100822.813645,0.007600
2022-12-22,100157.222339,-0.006602
2022-12-23,100611.890574,0.004540
2022-12-27,99911.950491,-0.006957
2022-12-28,98740.236692,-0.011727
2022-12-29,100514.363965,0.017968
2022-12-30,99785.583334,-0.007251
2023-01-03,99899.510004,0.001142
2023-01-04,101884.104084,0.019866
2023-01-05,99920.100502,-0.019277
2023-01-06,102242.807355,0.023246
2023-01-09,101478.322239,-0.007477
2023-01-10,101668.399844,0.001873
2023-01-11,102845.485228,0.011578
2023-01-12,103212.417721,0.003568
2023-01-13,102924.288819,-0.002792
2023-01-16,103068.310001,0.001399
2023-01-17,102818.592199,-0.002423
